NAWQA_ID,DATE,TIME,PFAS,PREP_DATE,MTXSPK
STRVPAS2-05,8/7/2019,1113,PFHpA,3/4/2020,88
NECBSUS3-06,7/31/2019,1113,PFHxA,3/4/2020,79.125
NECBSUS3-08,8/8/2019,1113,PFHxA,3/10/2020,72.3
NECBSUS3-09,8/14/2019,1113,PFHxA,3/4/2020,85.125
NECBSUS3-10,8/15/2019,1113,PFHxA,3/4/2020,86.375
NECBSUS3-11,9/3/2019,1113,PFHxA,3/4/2020,78.75
NECBSUS3-12,9/5/2019,1113,PFHxA,3/4/2020,77.375
NECBSUS3-13,9/12/2019,1113,PFHxA,3/4/2020,80.625
NECBSUS3-20,8/20/2019,1113,PFHxA,3/4/2020,88.625
NECBSUS3-21,8/22/2019,1113,PFHxA,3/4/2020,77.875
NECBSUS3-25,8/21/2019,1113,PFHxA,3/4/2020,81.75
NECBSUS3-26,9/10/2019,1113,PFHxA,3/4/2020,81.4
STRVPAS2-01,8/5/2019,1013,PFHxA,3/4/2020,78.75
STRVPAS2-02,8/5/2019,1513,PFHxA,3/4/2020,82.125
STRVPAS2-03,8/6/2019,1013,PFHxA,3/4/2020,77.125
STRVPAS2-04,8/6/2019,1513,PFHxA,3/4/2020,84.875
STRVPAS2-05,8/7/2019,1113,PFHxA,3/4/2020,76.375
NECBSUS3-06,7/31/2019,1113,PFHxS,3/4/2020,83.33333333
NECBSUS3-08,8/8/2019,1113,PFHxS,3/10/2020,78.38797814
NECBSUS3-09,8/14/2019,1113,PFHxS,3/4/2020,87.84153005
NECBSUS3-10,8/15/2019,1113,PFHxS,3/4/2020,87.40437158
NECBSUS3-11,9/3/2019,1113,PFHxS,3/4/2020,81.14754098
NECBSUS3-12,9/5/2019,1113,PFHxS,3/4/2020,79.64480874
NECBSUS3-13,9/12/2019,1113,PFHxS,3/4/2020,84.50819672
NECBSUS3-20,8/20/2019,1113,PFHxS,3/4/2020,77.32240437
NECBSUS3-21,8/22/2019,1113,PFHxS,3/4/2020,81.69398907
NECBSUS3-25,8/21/2019,1113,PFHxS,3/4/2020,85.51912568
NECBSUS3-26,9/10/2019,1113,PFHxS,3/4/2020,83.7431694
STRVPAS2-01,8/5/2019,1013,PFHxS,3/4/2020,79.64480874
STRVPAS2-02,8/5/2019,1513,PFHxS,3/4/2020,83.7431694
STRVPAS2-03,8/6/2019,1013,PFHxS,3/4/2020,79.91803279
STRVPAS2-04,8/6/2019,1513,PFHxS,3/4/2020,87.70491803
STRVPAS2-05,8/7/2019,1113,PFHxS,3/4/2020,79.64480874
NECBSUS3-06,7/31/2019,1113,PFNA,3/4/2020,78.625
NECBSUS3-08,8/8/2019,1113,PFNA,3/10/2020,77.5
NECBSUS3-09,8/14/2019,1113,PFNA,3/4/2020,81.95
NECBSUS3-10,8/15/2019,1113,PFNA,3/4/2020,84
NECBSUS3-11,9/3/2019,1113,PFNA,3/4/2020,77.6625
NECBSUS3-12,9/5/2019,1113,PFNA,3/4/2020,77.75
NECBSUS3-13,9/12/2019,1113,PFNA,3/4/2020,82.375
NECBSUS3-20,8/20/2019,1113,PFNA,3/4/2020,89.5
NECBSUS3-21,8/22/2019,1113,PFNA,3/4/2020,78.25
NECBSUS3-25,8/21/2019,1113,PFNA,3/4/2020,80.5
NECBSUS3-26,9/10/2019,1113,PFNA,3/4/2020,80.875
STRVPAS2-01,8/5/2019,1013,PFNA,3/4/2020,76.125
STRVPAS2-02,8/5/2019,1513,PFNA,3/4/2020,80.25
STRVPAS2-03,8/6/2019,1013,PFNA,3/4/2020,75.875
STRVPAS2-04,8/6/2019,1513,PFNA,3/4/2020,81.45
STRVPAS2-05,8/7/2019,1113,PFNA,3/4/2020,76.5
NECBSUS3-06,7/31/2019,1113,PFOA,3/4/2020,90.85
NECBSUS3-08,8/8/2019,1113,PFOA,3/10/2020,22.875
NECBSUS3-09,8/14/2019,1113,PFOA,3/4/2020,94.5
NECBSUS3-10,8/15/2019,1113,PFOA,3/4/2020,96.1
NECBSUS3-11,9/3/2019,1113,PFOA,3/4/2020,90.25
NECBSUS3-12,9/5/2019,1113,PFOA,3/4/2020,88.25
NECBSUS3-13,9/12/2019,1113,PFOA,3/4/2020,93.7125
NECBSUS3-20,8/20/2019,1113,PFOA,3/4/2020,101.625
NECBSUS3-21,8/22/2019,1113,PFOA,3/4/2020,90.25
NECBSUS3-25,8/21/2019,1113,PFOA,3/4/2020,95
NECBSUS3-26,9/10/2019,1113,PFOA,3/4/2020,93.3375
STRVPAS2-01,8/5/2019,1013,PFOA,3/4/2020,89
STRVPAS2-02,8/5/2019,1513,PFOA,3/4/2020,91.75
STRVPAS2-03,8/6/2019,1013,PFOA,3/4/2020,87.125
