NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
NECBLUSRC1-23,6/27/2019,1100,,52.0,,0.6,,5.6,,847.0,,15.0,,4.16,,0.071,,236.0,,26.0,,479,<,0.01,,0.429,<,0.1,,0.53,<,0.008,,0.42,,27,,0.59,,3910.0,,95.1,<,0.03,<,0.1,,3.64,,0.1,,0.05
NECBLUSRC1-24,6/27/2019,1300,,2.6,,0.1,,5.8,,153.0,,1.59,,0.617,,0.04,,28.6,,8.04,,87,<,0.01,,0.362,<,0.09,,0.46,,0.012,,0.75,,22,<,0.5,<,10.0,,13.8,<,0.03,,3.2,,3.53,,0.11,,0.08
NECBLUSRC1-25,7/9/2019,1300,,2.9,,3.6,,5.5,,388.0,,12.2,,1.96,,0.033,,113.0,,8.6,,243,<,0.01,,0.103,<,0.03,,0.13,<,0.004,,0.77,<,5,,0.93,,10.3,,62.9,,0.053,<,0.1,,4.49,,0.1,,0.06
NECBLUSRC1-26,7/10/2019,1100,,0.7,,10.0,,5.7,,188.0,,9.58,,2.73,,0.02,,22.7,,18.8,,135,,0.02,,7.18,,,,7.07,,0.008,,1.31,,20,<,0.5,<,10.0,,4.35,<,0.03,<,0.1,,4.3,,0.13,,0.08
NECBLUSRC1-27,7/11/2019,1300,,2.1,,0.2,,6.2,,1330.0,,5.56,,2.06,,0.071,,375.0,,0.1,,735,,1.84,<,0.04,<,0.32,,2.16,,0.016,,7.02,,38,<,1.0,,25800.0,,724.0,<,0.06,,1.8,,3.94,,0.12,,0.05
NECBLUSRC1-28,6/3/2019,1100,,,,3.5,,6.4,,622.0,,33.3,,3.49,,0.036,,148.0,,22.2,,370,<,0.01,,0.742,<,0.02,,0.76,<,0.004,,3.22,,8,,0.9,<,10.0,,12.3,,0.051,<,0.1,,5.58,(,0.13,,0.05
NECBSUS3-01,8/13/2019,1100,,3.9,,4.7,,6.0,,190.0,,10.4,,2.78,,0.03,,35.1,,8.58,,111,<,0.01,,1.86,<,0.03,,1.89,,0.01,,0.58,,11,<,0.5,<,10.0,,2.95,,0.03,<,0.1,,3.86,,0.09,,0.05
NECBSUS3-02,9/16/2019,1100,,0.4,,5.4,,5.7,,132.0,,6.68,,1.13,,0.035,,24.2,,6.6,,72,<,0.01,,0.786,<,0.1,,0.88,,0.01,,0.65,<,5,<,0.5,,430.0,,30.3,,0.03,,0.23,,3.76,,0.1,,0.06
NECBSUS3-03,9/17/2019,1100,,0.6,,2.2,,6.1,,381.0,,19.8,,5.01,,0.135,,91.1,,13.5,,242,<,0.01,,1.53,<,0.07,,1.6,,0.007,,0.47,,13,<,0.5,<,10.0,,153.0,,0.963,,0.15,,2.46,,0.07,,0.07
NECBSUS3-04,7/29/2019,1100,,0.3,,0.3,,5.6,,347.0,,12.1,,5.18,,0.038,,83.7,,11.6,,217,<,0.01,,1.68,<,0.09,,1.78,,0.024,,0.3,,14,<,0.5,<,10.0,,18.4,<,0.03,<,0.1,,3.53,(,0.1,,0.08
NECBSUS3-05,7/30/2019,1100,,0.8,,0.1,,6.2,,72.0,,1.94,,1.16,,0.025,,10.3,,6.19,,61,<,0.01,<,0.04,<,0.06,,0.06,<,0.004,,0.29,<,5,<,0.5,,2310.0,,146.0,<,0.03,<,0.1,,3.81,,0.09,,0.06
NECBSUS3-06,7/31/2019,1100,,1.9,,1.9,,5.9,,396.0,,18.6,,5.03,,0.034,,101.0,,9.69,,233,,0.08,,0.171,,0.07,,0.32,,0.023,,2.86,,9,<,0.5,,1620.0,,223.0,,0.086,,1.7,,3.36,(,0.11,,0.08
NECBSUS3-08,8/8/2019,1100,,0.4,,0.1,,6.1,,245.0,,6.32,,2.09,,0.051,,54.3,,1.12,,151,,0.26,<,0.039,<,0.35,,0.61,,0.085,,8.94,,13,<,0.5,,4390.0,,745.0,,0.162,,8.2,,6.25,,0.13,,0.07
NECBSUS3-09,8/14/2019,1100,,2.3,,2.1,,6.4,,869.0,,58.9,,8.94,,0.066,,213.0,,44.2,,548,,0.02,,0.731,,0.04,,0.79,<,0.004,,0.45,,16,<,0.5,,25.4,,131.0,,0.308,<,0.1,,5.3,,0.12,,0.06
