NAWQA_ID,DATE,TIME,4_2 FTS-RMK,4_2 FTS-VA,6_2 FTS-RMK,6_2 FTS-VA,8_2 FTS-RMK,8_2 FTS-VA,N-EtFOSAA-RMK,N-EtFOSAA-VA,N-MeFOSAA-RMK,N-MeFOSAA-VA,PFBS-RMK,PFBS-V,PFBA-RMK,PFBA-VA,PFDS-RMK,PFDS-VA,PFDA-RMK,PFDA-VA,PFDoA-RMK,PFDoA-VA,PFHpS-RMK,PFHpS-VA,PFHpA-RMK,PFHpA-VA,PFHxS-RMK,PFHxS-VA,PFHxA-RMK,PFHxA-VA,PFNS-RMK,PFNS-VA,PFNA-RMK,PFNA-VA,PFOSA-RMK,PFOSA-VA,PFOS-RMK,PFOS-VA,PFOA-RMK,PFOA-VA,PFPeS-RMK,PFPeS-VA,PFPeA-RMK,PFPeA-VA,PFTeDA-RMK,PFTeDA-VA,PFTrDA-RMK,PFTrDA-VA,PFUnA-RMK,PFUnA-VA
MOBLSUS1-31,11/14/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,2.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-01,7/9/2019,1100,<,8.0,n,2.0,<,8.0,<,20.0,<,20.0,n,1.8,n,2.5,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,n,1.7,<,4.0,<,4.0,<,4.0,<,4.0,,7.8,n,2.2,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-02,6/4/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,3.9,,42.0,<,4.0,<,4.0,<,4.0,<,4.0,,7.4,n,1.9,,12.0,<,4.0,n,1.3,<,4.0,,5.3,,9.6,<,4.0,,20.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-04,6/5/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,1.8,n,3.4,<,4.0,<,4.0,<,4.0,n,1.8,,2.8,n,3.3,n,2.6,<,4.0,<,4.0,<,4.0,,5.6,,10.0,<,4.0,n,2.4,<,4.0,<,4.0,<,4.0
NECBLUSRC1-05,6/6/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,2.8,n,3.4,<,4.0,<,4.0,<,4.0,<,4.0,n,1.3,<,4.0,n,1.3,<,4.0,<,4.0,<,4.0,<,4.0,n,2.5,<,4.0,n,2.4,<,4.0,<,4.0,<,4.0
NECBLUSRC1-06,6/10/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,9.0,n,3.6,<,4.0,<,4.0,<,4.0,<,4.0,n,2.1,,19.0,n,1.8,<,4.0,<,4.0,<,4.0,,9.3,,7.2,,5.8,n,2.2,<,4.0,<,4.0,<,4.0
NECBLUSRC1-07,6/11/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,2.6,n,2.8,<,4.0,<,4.0,<,4.0,<,4.0,n,3.0,n,3.1,n,3.8,<,4.0,<,4.0,<,4.0,,10.0,,9.8,<,4.0,n,3.7,<,4.0,<,4.0,<,4.0
NECBLUSRC1-08,6/11/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,1.5,n,2.1,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,n,2.5,<,4.0,<,4.0,<,4.0,<,4.0,n,3.3,n,2.1,<,4.0,n,2.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-09,6/12/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,n,2.4,<,4.0,<,4.0,<,4.0,n,1.2,,6.0,,6.6,,7.2,<,4.0,<,4.0,<,4.0,,17.0,,28.0,<,4.0,,5.3,<,4.0,<,4.0,<,4.0
NECBLUSRC1-10,6/12/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,4.6,n,7.9,<,4.0,n,2.3,<,4.0,<,4.0,,12.0,,17.0,,10.0,<,4.0,n,2.4,<,8.0,,33.0,,35.0,,4.3,,9.5,<,4.0,<,4.0,<,4.0
NECBLUSRC1-11,6/13/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,2.1,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,n,1.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,,1.9,n,3.5,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-12,6/17/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-13,6/17/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,6.7,n,2.1,<,4.0,<,4.0,<,4.0,<,4.0,n,2.7,n,1.4,n,3.2,<,4.0,n,2.1,<,4.0,,13.0,,14.0,<,4.0,n,3.6,<,4.0,<,4.0,<,4.0
NECBLUSRC1-14,6/18/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,n,3.5,n,2.3,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-16,6/19/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,1.9,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,E,3.8,n,2.8,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
NECBLUSRC1-17,6/20/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,n,3.8,<,8.0,<,4.0,<,4.0,<,4.0,n,1.6,n,1.8,,17.0,n,3.4,<,4.0,<,4.0,<,4.0,,48.0,,5.2,n,1.8,n,2.9,<,4.0,<,4.0,<,4.0
NECBLUSRC1-20,6/25/2019,1300,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
